c,r,A,orbit,valuations,min_orbit,primitive_period,essential
1,1,2,[1],[2],1,1,True
5,1,3,[1],[3],1,1,True
5,3,5,"[19,31,49]","[1,1,3]",19,3,True
5,3,5,"[23,37,29]","[1,2,2]",23,3,True
7,2,4,"[5,11]","[1,3]",5,2,True
11,2,6,"[1,7]","[1,5]",1,2,True
11,8,14,"[13,25,43,35,29,49,79,31]","[1,1,2,2,1,1,3,3]",13,8,True
13,1,4,[1],[4],1,1,True
13,5,8,"[211,323,491,743,1121]","[1,1,1,1,4]",211,5,True
13,5,8,"[227,347,527,797,601]","[1,1,1,2,3]",227,5,True
13,5,8,"[251,383,581,439,665]","[1,1,2,1,3]",251,5,True
13,5,8,"[259,395,599,905,341]","[1,1,1,3,2]",259,5,True
13,5,8,"[283,431,653,493,373]","[1,1,2,2,2]",283,5,True
13,5,8,"[287,437,331,503,761]","[1,2,1,1,3]",287,5,True
13,5,8,"[319,485,367,557,421]","[1,2,1,2,2]",319,5,True
17,2,7,"[1,5]","[2,5]",1,2,True
19,5,11,"[5,17,35,31,7]","[1,1,2,4,3]",5,5,True
23,2,5,"[5,19]","[1,4]",5,2,True
23,2,5,"[7,11]","[2,3]",7,2,True
25,4,8,"[17,19,41,37]","[2,1,2,3]",17,4,True
25,8,16,"[7,23,47,83,137,109,11,29]","[1,1,1,1,2,5,1,4]",7,8,True
29,1,5,[1],[5],1,1,True
29,9,17,"[11,31,61,53,47,85,71,121,49]","[1,1,2,2,1,2,1,3,4]",11,9,True
31,12,23,"[13,35,17,41,77,131,53,95,79,67,29,59]","[1,3,1,1,1,3,1,2,2,3,1,4]",13,12,True
35,4,8,"[13,37,73,127]","[1,1,1,5]",13,4,True
35,4,8,"[17,43,41,79]","[1,2,1,4]",17,4,True
37,3,6,"[19,47,89]","[1,1,4]",19,3,True
37,3,6,"[23,53,49]","[1,2,3]",23,3,True
37,3,6,"[29,31,65]","[2,1,3]",29,3,True
41,8,20,"[1,11,37,19,49,47,91,157]","[2,1,3,1,2,1,1,9]",1,8,True
43,3,11,"[1,23,7]","[1,4,6]",1,3,True
47,4,7,"[65,121,205,331]","[1,1,1,4]",65,4,True
47,4,7,"[73,133,223,179]","[1,1,2,3]",73,4,True
47,4,7,"[85,151,125,211]","[1,2,1,3]",85,4,True
47,4,7,"[89,157,259,103]","[1,1,3,2]",89,4,True
47,4,7,"[101,175,143,119]","[1,2,2,2]",101,4,True
47,7,18,"[5,31,35,19,13,43,11]","[1,2,3,3,1,4,4]",5,7,True
55,2,6,"[7,19]","[2,4]",7,2,True
55,4,12,"[1,29,71,67]","[1,1,2,8]",1,4,True
59,6,10,"[133,229,373,589,913,1399]","[1,1,1,1,1,5]",133,6,True
59,6,10,"[149,253,409,643,497,775]","[1,1,1,2,1,4]",149,6,True
59,6,10,"[181,301,481,751,289,463]","[1,1,1,3,1,3]",181,6,True
59,6,10,"[185,307,245,397,625,967]","[1,2,1,1,1,4]",185,6,True
59,6,10,"[217,355,281,451,353,559]","[1,2,1,2,1,3]",217,6,True
59,6,10,"[221,361,571,443,347,275]","[1,1,2,2,2,2]",221,6,True
59,11,28,"[1,31,19,29,73,139,119,13,49,103,23]","[1,3,2,1,1,2,5,1,1,4,7]",1,11,True
61,1,6,[1],[6],1,1,True
65,12,24,"[19,61,31,79,151,259,421,83,157,67,133,29]","[1,3,1,1,1,1,4,1,3,1,4,3]",19,12,True
71,5,10,"[29,79,77,151,131]","[1,2,1,2,4]",29,5,True
71,5,10,"[31,41,97,181,307]","[2,1,1,1,5]",31,5,True
73,4,12,"[5,11,53,29]","[3,1,3,5]",5,4,True
73,8,15,"[47,107,197,83,161,139,245,101]","[1,1,3,1,2,1,3,3]",47,8,True
83,7,12,"[109,205,349,565,889,1375,263]","[1,1,1,1,1,4,3]",109,7,True
83,7,12,"[157,277,457,727,283,233,391]","[1,1,1,3,2,1,3]",157,7,True
89,8,17,"[17,35,97,95,187,325,133,61]","[2,1,2,1,1,3,3,4]",17,8,True
91,6,12,"[25,83,85,173,305,503]","[1,2,1,1,1,6]",25,6,True
91,6,12,"[59,67,73,155,139,127]","[2,2,1,2,2,3]",59,6,True
95,5,11,"[17,73,157,283,59]","[1,1,1,4,4]",17,5,True
95,5,11,"[23,41,109,211,91]","[2,1,1,3,4]",23,5,True
97,3,9,"[13,17,37]","[3,2,4]",13,3,True
97,6,18,"[1,25,43,113,109,53]","[2,2,1,2,3,8]",1,6,True
101,3,7,"[19,79,169]","[1,1,5]",19,3,True
101,3,7,"[23,85,89]","[1,2,4]",23,3,True
101,3,7,"[29,47,121]","[2,1,4]",29,3,True
101,3,7,"[31,97,49]","[1,3,3]",31,3,True
101,3,7,"[37,53,65]","[2,2,3]",37,3,True
101,6,14,"[7,61,71,157,143,265]","[1,2,1,2,1,7]",7,6,True
101,6,14,"[11,67,151,277,233,25]","[1,1,1,2,5,4]",11,6,True
103,8,21,"[5,59,35,13,71,79,85,179]","[1,3,4,1,2,2,1,7]",5,8,True
113,12,29,"[1,29,25,47,127,247,427,697,551,883,1381,133]","[2,3,2,1,1,1,1,2,1,1,5,9]",1,12,True
119,2,7,"[5,67]","[1,6]",5,2,True
119,2,7,"[11,19]","[3,4]",11,2,True
125,1,7,[1],[7],1,1,True
137,4,14,"[1,35,121,125]","[2,1,2,9]",1,4,True
143,7,16,"[17,97,217,397,667,67,43]","[1,1,1,1,5,3,4]",17,7,True
143,7,16,"[29,115,61,163,79,95,107]","[1,3,1,3,2,2,4]",29,7,True
145,2,10,"[1,37]","[2,8]",1,2,True
145,10,22,"[23,107,233,211,389,41,67,173,83,197]","[1,1,2,1,5,2,1,3,1,5]",23,10,True
151,10,18,"[113,245,443,185,353,605,983,775,619,251]","[1,1,3,1,1,1,2,2,3,3]",113,10,True
157,12,28,"[13,49,19,107,239,437,367,629,511,845,673,17]","[2,4,1,1,1,2,1,2,1,2,7,4]",13,12,True
161,6,15,"[11,97,113,125,67,181]","[1,2,2,3,1,6]",11,6,True
161,6,15,"[19,109,61,43,145,149]","[1,3,3,1,2,5]",19,6,True
167,9,17,"[95,113,253,463,389,667,271,245,451]","[2,1,1,2,1,3,2,1,4]",95,9,True
167,9,17,"[127,137,289,517,859,343,299,133,283]","[2,1,1,1,3,2,3,1,3]",127,9,True
169,9,24,"[11,101,59,173,43,149,77,25,61]","[1,3,1,4,1,3,4,2,5]",11,9,True
173,7,17,"[37,71,193,47,157,161,41]","[2,1,4,1,2,4,3]",37,7,True
175,4,8,"[73,197,383,331]","[1,1,2,4]",73,4,True
175,4,8,"[89,221,419,179]","[1,1,3,3]",89,4,True
175,4,8,"[101,239,223,211]","[1,2,2,3]",101,4,True
175,4,8,"[103,121,269,491]","[2,1,1,4]",103,4,True
175,4,8,"[143,151,157,323]","[2,2,1,3]",143,4,True
175,8,16,"[53,167,169,341,599,493,827,83]","[1,2,1,1,2,1,5,3]",53,8,True
175,12,24,"[29,131,71,97,233,437,743,601,989,1571,611,251]","[1,3,2,1,1,1,2,1,1,3,3,5]",29,12,True
181,10,20,"[23,125,139,299,539,899,1439,2249,433,185]","[1,2,1,1,1,1,1,4,3,5]",23,10,True
181,10,20,"[55,173,175,353,155,323,575,953,95,233]","[1,2,1,3,1,1,1,5,1,4]",55,10,True
187,12,26,"[5,101,245,461,785,1271,125,281,515,433,743,151]","[1,1,1,1,1,5,1,1,2,1,4,7]",5,12,True
187,12,26,"[43,79,53,173,353,623,257,479,203,199,49,167]","[2,3,1,1,1,3,1,3,2,4,1,4]",43,12,True
193,5,18,"[5,13,29,35,149]","[4,3,3,1,7]",5,5,True
193,12,24,"[31,143,311,563,941,377,331,593,493,209,205,101]","[1,1,1,1,3,2,1,2,3,2,3,4]",31,12,True
199,6,15,"[13,119,139,77,215,211]","[1,2,3,1,2,6]",13,6,True
199,6,15,"[47,85,227,55,91,59]","[2,1,4,2,3,3]",47,6,True
203,2,10,"[1,103]","[1,9]",1,2,True
209,8,14,"[175,367,655,1087,1735,2707,4165,397]","[1,1,1,1,1,1,5,3]",175,8,True
209,8,14,"[235,457,395,697,575,967,1555,2437]","[1,2,1,2,1,1,1,5]",235,8,True
209,8,14,"[359,643,1069,427,745,611,1021,409]","[1,1,3,1,2,1,3,2]",359,8,True
215,9,19,"[31,77,223,221,439,383,341,619,259]","[2,1,2,1,2,2,1,3,5]",31,9,True
215,9,19,"[47,89,241,469,811,331,151,167,179]","[2,1,1,1,3,3,2,2,4]",47,9,True
221,8,20,"[5,59,199,409,181,191,397,353]","[2,1,1,3,2,1,2,8]",5,8,True
229,3,8,"[19,143,329]","[1,1,6]",19,3,True
229,3,8,"[23,149,169]","[1,2,5]",23,3,True
229,3,8,"[29,79,233]","[2,1,5]",29,3,True
229,3,8,"[31,161,89]","[1,3,4]",31,3,True
229,3,8,"[37,85,121]","[2,2,4]",37,3,True
229,3,8,"[47,185,49]","[1,4,3]",47,3,True
229,3,8,"[53,97,65]","[2,3,3]",53,3,True
229,6,16,"[7,125,151,341,313,73]","[1,2,1,2,4,6]",7,6,True
233,8,13,"[919,1495,2359,3655,5599,8515,12889,9725]","[1,1,1,1,1,1,2,5]",919,8,True
233,8,13,"[983,1591,2503,3871,5923,9001,6809,5165]","[1,1,1,1,1,2,2,4]",983,8,True
233,8,13,"[1079,1735,2719,4195,6409,4865,3707,5677]","[1,1,1,1,2,2,1,4]",1079,8,True
233,8,13,"[1111,1783,2791,4303,6571,9973,3769,2885]","[1,1,1,1,1,3,2,3]",1111,8,True
233,8,13,"[1159,1855,2899,4465,3407,5227,7957,3013]","[1,1,1,2,1,1,3,3]",1159,8,True
233,8,13,"[1175,1879,2935,4519,6895,10459,15805,1489]","[1,1,1,1,1,1,5,2]",1175,8,True
233,8,13,"[1223,1951,3043,4681,3569,2735,4219,6445]","[1,1,1,2,2,1,1,4]",1223,8,True
233,8,13,"[1367,2167,3367,5167,7867,11917,2249,1745]","[1,1,1,1,1,4,2,2]",1367,8,True
233,8,13,"[1439,2275,3529,2705,2087,3247,4987,7597]","[1,1,2,2,1,1,1,4]",1439,8,True
233,8,13,"[1535,2419,3745,2867,4417,3371,5173,1969]","[1,1,2,1,2,1,3,2]",1535,8,True
233,8,13,"[1555,2449,1895,2959,4555,6949,2635,4069]","[1,2,1,1,1,3,1,3]",1555,8,True
233,8,13,"[1651,2593,2003,3121,2399,3715,5689,4325]","[1,2,1,2,1,1,2,3]",1651,8,True
233,8,13,"[1655,2599,4015,6139,9325,1763,2761,2129]","[1,1,1,1,4,1,2,2]",1655,8,True
233,8,13,"[1663,2611,4033,3083,4741,1807,2827,4357]","[1,1,2,1,3,1,1,3]",1663,8,True
233,8,13,"[1907,2977,2291,3553,2723,4201,3209,2465]","[1,2,1,2,1,2,2,2]",1907,8,True
235,11,25,"[11,67,109,281,539,463,203,211,217,443,391]","[2,2,1,1,2,3,2,2,1,2,7]",11,11,True
235,11,25,"[17,143,83,121,299,283,271,131,157,353,647]","[1,3,2,1,2,2,3,2,1,1,7]",17,11,True
235,11,25,"[19,73,227,229,461,809,1331,1057,1703,167,23]","[2,1,2,1,1,1,2,1,5,5,4]",19,11,True
247,2,8,"[5,131]","[1,7]",5,2,True
247,2,8,"[7,67]","[2,6]",7,2,True
247,2,8,"[11,35]","[3,5]",11,2,True
253,1,8,[1],[8],1,1,True
259,6,12,"[85,257,515,451,403,367]","[1,1,2,2,2,4]",85,6,True
259,6,12,"[107,145,347,325,617,1055]","[2,1,2,1,1,5]",107,6,True
259,6,12,"[113,299,289,563,487,215]","[1,2,1,2,3,3]",113,6,True
259,6,12,"[121,311,149,353,659,559]","[1,3,1,1,2,4]",121,6,True
259,12,24,"[29,173,389,713,1199,241,491,433,779,649,1103,223]","[1,1,1,1,4,1,2,1,2,1,4,5]",29,12,True
259,12,24,"[59,109,293,569,983,401,731,613,1049,1703,671,71]","[2,1,1,1,3,1,2,1,1,3,5,3]",59,12,True
269,5,9,"[211,451,811,1351,2161]","[1,1,1,1,5]",211,5,True
269,5,9,"[227,475,847,1405,1121]","[1,1,1,2,4]",227,5,True
269,5,9,"[251,511,901,743,1249]","[1,1,2,1,4]",251,5,True
269,5,9,"[259,523,919,1513,601]","[1,1,1,3,3]",259,5,True
269,5,9,"[283,559,973,797,665]","[1,1,2,2,3]",283,5,True
269,5,9,"[287,565,491,871,1441]","[1,2,1,1,4]",287,5,True
269,5,9,"[319,613,527,925,761]","[1,2,1,2,3]",319,5,True
269,5,9,"[323,619,1063,1729,341]","[1,1,1,4,2]",323,5,True
269,5,9,"[331,631,1081,439,793]","[1,1,3,1,3]",331,5,True
269,5,9,"[347,655,1117,905,373]","[1,1,2,3,2]",347,5,True
269,5,9,"[367,685,581,503,889]","[1,2,2,1,3]",367,5,True
269,5,9,"[383,709,599,1033,421]","[1,2,1,3,2]",383,5,True
269,5,9,"[395,727,1225,493,437]","[1,1,3,2,2]",395,5,True
269,5,9,"[431,781,653,557,485]","[1,2,2,2,2]",431,5,True
269,10,18,"[179,403,739,1243,1999,3133,2417,235,487,865]","[1,1,1,1,1,2,5,1,1,4]",179,10,True
269,10,18,"[223,469,419,763,1279,2053,1607,2545,247,505]","[1,2,1,1,1,2,1,5,1,3]",223,10,True
281,4,11,"[17,83,265,269]","[2,1,2,6]",17,4,True
281,4,11,"[19,169,197,109]","[1,2,3,5]",19,4,True
281,4,11,"[25,89,137,173]","[2,2,2,5]",25,4,True
281,4,11,"[37,49,107,301]","[3,2,1,5]",37,4,True
281,4,11,"[41,101,73,125]","[2,3,2,4]",41,4,True
281,8,22,"[1,71,247,511,907,1501,299,589]","[2,1,1,1,1,4,1,11]",1,8,True
283,6,16,"[5,149,365,689,1175,119]","[1,1,1,1,5,7]",5,6,True
287,12,30,"[5,151,185,421,775,653,1123,457,829,1387,139,11]","[1,2,1,1,2,1,3,1,1,5,6,6]",5,12,True
287,12,30,"[31,95,143,179,103,149,367,347,83,67,61,235]","[2,2,2,3,2,1,2,4,3,3,1,5]",31,12,True
295,6,10,"[697,1193,1937,3053,4727,3619]","[1,1,1,1,2,4]",697,6,True
295,6,10,"[761,1289,2081,3269,5051,1931]","[1,1,1,1,3,3]",761,6,True
295,6,10,"[809,1361,2189,3431,2647,2059]","[1,1,1,2,2,3]",809,6,True
295,6,10,"[817,1373,2207,1729,2741,4259]","[1,1,2,1,1,4]",817,6,True
295,6,10,"[881,1469,2351,1837,2903,2251]","[1,1,2,1,2,3]",881,6,True
295,6,10,"[889,1481,2369,3701,5699,1087]","[1,1,1,1,4,2]",889,6,True
295,6,10,"[937,1553,2477,3863,2971,1151]","[1,1,1,2,3,2]",937,6,True
295,6,10,"[977,1613,2567,1999,1573,2507]","[1,1,2,2,1,3]",977,6,True
295,6,10,"[989,1631,1297,2093,3287,2539]","[1,2,1,1,2,3]",989,6,True
295,6,10,"[1009,1661,2639,2053,3227,1247]","[1,1,2,1,3,2]",1009,6,True
295,6,10,"[1033,1697,2693,4187,1607,1279]","[1,1,1,3,2,2]",1033,6,True
295,6,10,"[1117,1823,1441,2309,3611,1391]","[1,2,1,1,3,2]",1117,6,True
295,6,10,"[1213,1967,1549,2471,1927,1519]","[1,2,1,2,2,2]",1213,6,True
295,6,10,"[1229,1991,1567,1249,2021,3179]","[1,2,2,1,1,3]",1229,6,True
295,12,20,"[601,1049,1721,2729,4241,6509,9911,7507,713,1217,1973,3107]","[1,1,1,1,1,1,2,5,1,1,1,4]",601,12,True
295,12,20,"[737,1253,2027,797,1343,1081,1769,2801,4349,6671,5077,7763]","[1,1,3,1,2,1,1,1,1,2,1,5]",737,12,True
299,8,20,"[19,89,283,287,145,367,175,103]","[2,1,2,3,1,3,3,5]",19,8,True
301,12,30,"[19,179,419,779,1319,2129,209,29,97,37,103,305]","[1,1,1,1,1,5,5,2,4,2,1,6]",19,12,True
307,9,21,"[5,161,395,373,713,1223,497,899,751]","[1,1,2,1,1,3,1,2,9]",5,9,True
307,9,21,"[17,179,211,235,253,533,953,1583,79]","[1,2,2,2,1,1,1,6,5]",17,9,True
307,9,21,"[41,215,119,83,139,181,425,791,335]","[1,3,3,2,2,1,1,3,5]",41,9,True
313,3,12,"[5,41,109]","[3,2,7]",5,3,True
313,3,12,"[11,173,13]","[1,6,5]",11,3,True
325,12,24,"[83,287,593,263,557,499,911,1529,307,623,1097,113]","[1,1,3,1,2,1,1,4,1,1,5,3]",83,12,True
325,12,24,"[127,353,173,211,479,881,371,719,1241,253,271,569]","[1,3,2,1,1,3,1,1,4,2,1,4]",127,12,True
329,10,29,"[1,83,289,299,613,271,571,1021,53,61]","[2,1,2,1,3,1,1,6,3,9]",1,10,True
329,12,21,"[295,607,1075,1777,1415,2287,3595,5557,2125,419,793,677]","[1,1,1,2,1,1,1,3,4,1,2,3]",295,12,True
329,12,21,"[407,775,1327,2155,3397,1315,2137,1685,673,587,1045,433]","[1,1,1,1,3,1,2,3,2,1,3,2]",407,12,True
337,8,16,"[47,239,527,959,1607,2579,4037,389]","[1,1,1,1,1,1,5,5]",47,8,True
337,8,16,"[91,305,313,319,647,1139,1877,373]","[1,2,2,1,1,1,4,4]",91,8,True
337,8,16,"[107,329,331,665,583,1043,1733,173]","[1,2,1,2,1,1,5,3]",107,8,True
337,8,16,"[209,241,265,283,593,529,481,445]","[2,2,2,1,2,2,2,3]",209,8,True
337,8,16,"[227,509,233,259,557,251,545,493]","[1,3,2,1,3,1,2,3]",227,8,True
355,3,13,"[1,179,223]","[1,2,10]",1,3,True
355,3,13,"[7,47,31]","[3,4,6]",7,3,True
359,8,15,"[113,349,703,617,1105,1837,2935,2291]","[1,1,2,1,1,1,2,6]",113,8,True
359,8,15,"[121,361,721,1261,2071,1643,661,1171]","[1,1,1,1,2,3,1,5]",121,8,True
359,8,15,"[145,397,775,671,593,1069,1783,1427]","[1,1,2,2,1,1,2,5]",145,8,True
359,8,15,"[157,415,401,781,1351,1103,917,1555]","[1,2,1,1,2,2,1,5]",157,8,True
359,8,15,"[169,433,829,1423,1157,1915,763,331]","[1,1,1,2,1,3,3,3]",169,8,True
359,8,15,"[191,233,529,973,1639,1319,1079,899]","[2,1,1,1,2,2,2,4]",191,8,True
359,8,15,"[209,493,919,779,337,685,1207,995]","[1,1,2,3,1,1,2,4]",209,8,True
359,8,15,"[229,523,241,541,991,833,1429,2323]","[1,3,1,1,2,1,1,5]",229,8,True
359,8,15,"[263,287,305,637,1135,941,1591,1283]","[2,2,1,1,2,1,2,4]",263,8,True
359,8,15,"[269,583,527,485,907,385,757,1315]","[1,2,2,1,3,1,1,4]",269,8,True
361,5,11,"[79,299,629,281,301]","[1,1,3,2,4]",79,5,True
361,5,11,"[97,163,425,409,397]","[2,1,2,2,4]",97,5,True
361,5,11,"[113,175,443,845,181]","[2,1,1,4,3]",113,5,True
361,5,11,"[131,377,373,185,229]","[1,2,3,2,3]",131,5,True
361,5,11,"[137,193,235,533,245]","[2,2,1,3,3]",137,5,True
361,10,22,"[17,103,335,683,1205,497,463,875,1493,605]","[2,1,1,1,3,2,1,1,3,7]",17,10,True
361,10,22,"[35,233,265,289,307,641,571,1037,217,253]","[1,2,2,2,1,2,1,4,2,5]",35,10,True
361,10,22,"[53,65,139,389,191,467,881,751,1307,2141]","[3,2,1,3,1,1,2,1,1,7]",53,10,True
361,10,22,"[59,269,73,145,199,479,899,1529,1237,509]","[1,4,2,2,1,1,1,2,3,5]",59,10,True
365,4,12,"[11,199,481,113]","[1,1,4,6]",11,4,True
365,4,12,"[13,101,167,433]","[2,2,1,7]",13,4,True
365,4,12,"[41,61,137,97]","[3,2,3,4]",41,4,True
385,6,18,"[17,109,89,163,437,53]","[2,3,2,1,5,5]",17,6,True
391,8,20,"[13,215,259,73,305,653,1175,979]","[1,2,4,1,1,1,2,8]",13,8,True
391,8,20,"[29,239,277,611,139,101,347,179]","[1,2,1,4,3,1,3,5]",29,8,True
391,8,20,"[37,251,143,205,503,475,227,67]","[1,3,2,1,2,3,4,4]",37,8,True
395,10,22,"[17,223,133,397,793,1387,1139,953,1627,1319]","[1,3,1,1,1,2,2,1,2,8]",17,10,True
395,10,22,"[29,241,559,259,293,637,1153,1927,193,487]","[1,1,3,2,1,1,1,5,1,6]",29,10,True
395,10,22,"[47,67,149,421,829,1441,2359,467,449,871]","[3,2,1,1,1,1,4,2,1,6]",47,10,True
395,10,22,"[83,161,439,107,179,233,547,509,961,1639]","[2,1,4,2,2,1,2,1,1,6]",83,10,True
395,10,22,"[139,203,251,287,157,433,847,367,187,239]","[2,2,2,3,1,1,3,3,2,3]",139,10,True
431,4,9,"[65,313,685,1243]","[1,1,1,6]",65,4,True
431,4,9,"[73,325,703,635]","[1,1,2,5]",73,4,True
431,4,9,"[85,343,365,763]","[1,2,1,5]",85,4,True
431,4,9,"[89,349,739,331]","[1,1,3,4]",89,4,True
431,4,9,"[101,367,383,395]","[1,2,2,4]",101,4,True
431,4,9,"[103,185,493,955]","[2,1,1,5]",103,4,True
431,4,9,"[119,197,511,491]","[2,1,2,4]",119,4,True
431,4,9,"[121,397,811,179]","[1,1,4,3]",121,4,True
431,4,9,"[125,403,205,523]","[1,3,1,4]",125,4,True
431,4,9,"[133,415,419,211]","[1,2,3,3]",133,4,True
431,4,9,"[143,215,269,619]","[2,2,1,4]",143,4,True
431,4,9,"[151,221,547,259]","[2,1,3,3]",151,4,True
431,4,9,"[157,451,223,275]","[1,3,2,3]",157,4,True
431,4,9,"[175,239,287,323]","[2,2,2,3]",175,4,True
431,8,18,"[25,253,595,277,631,581,1087,923]","[1,1,3,1,2,1,2,7]",25,8,True
431,8,18,"[37,271,311,341,727,653,1195,251]","[1,2,2,1,2,1,4,5]",37,8,True
431,8,18,"[53,295,329,709,1279,1067,227,139]","[1,2,1,1,2,4,3,4]",53,8,True
431,12,27,"[7,113,385,793,1405,2323,925,1603,655,599,557,1051]","[2,1,1,1,1,3,1,3,2,2,1,9]",7,12,True
433,9,24,"[61,77,83,341,91,353,373,97,181]","[3,3,1,4,1,2,4,2,4]",61,9,True
437,12,30,"[5,113,97,91,355,751,1345,559,1057,451,895,1561]","[2,3,3,1,1,1,3,1,3,1,1,10]",5,12,True
439,6,13,"[41,281,641,1181,1991,1603]","[1,1,1,1,2,7]",41,6,True
439,6,13,"[65,317,695,631,583,547]","[1,1,2,2,2,5]",65,6,True
439,6,13,"[85,347,185,497,965,1667]","[1,3,1,1,1,6]",85,6,True
439,6,13,"[125,407,415,421,851,187]","[1,2,2,1,4,3]",125,6,True
439,6,13,"[149,443,221,551,523,251]","[1,3,1,2,3,3]",149,6,True
439,6,13,"[151,223,277,635,293,659]","[2,2,1,3,1,4]",151,6,True
439,12,26,"[61,311,343,367,385,797,1415,1171,247,295,331,179]","[1,2,2,2,1,1,2,4,2,2,3,4]",61,12,True
439,12,26,"[95,181,491,239,289,653,1199,1009,1733,2819,139,107]","[2,1,3,2,1,1,2,1,1,6,3,3]",95,12,True
443,7,16,"[41,283,323,353,751,337,727]","[1,2,2,1,3,1,6]",41,7,True
443,7,16,"[59,155,227,281,643,593,1111]","[2,2,2,1,2,1,6]",59,7,True
443,7,16,"[91,179,245,589,1105,1879,95]","[2,2,1,1,1,6,3]",91,7,True
445,8,28,"[1,7,233,143,437,439,881,193]","[6,1,3,1,2,1,4,10]",1,8,True
455,12,24,"[103,191,257,613,1147,487,479,473,937,1633,2677,4243]","[2,2,1,1,3,2,2,1,1,1,1,7]",103,12,True
481,6,12,"[95,383,815,1463,2435,3893]","[1,1,1,1,1,7]",95,6,True
481,6,12,"[127,431,887,1571,2597,517]","[1,1,1,1,4,4]",127,6,True
481,6,12,"[155,473,475,953,835,1493]","[1,2,1,2,1,5]",155,6,True
481,6,12,"[175,503,995,1733,355,773]","[1,1,1,4,1,4]",175,6,True
481,6,12,"[215,563,1085,467,941,413]","[1,1,3,1,3,3]",215,6,True
481,6,12,"[217,283,665,619,1169,997]","[2,1,2,1,2,4]",217,6,True
481,6,12,"[233,295,683,1265,1069,461]","[2,1,1,2,3,3]",233,6,True
481,6,12,"[281,331,737,673,625,589]","[2,1,2,2,2,3]",281,6,True
481,6,12,"[353,385,409,427,881,781]","[2,2,2,1,2,3]",353,6,True
481,12,24,"[113,205,137,223,575,1103,1895,3083,4865,3769,2947,4661]","[2,3,2,1,1,1,1,1,2,2,1,7]",113,12,True
481,12,24,"[119,419,869,193,265,319,719,1319,2219,3569,2797,1109]","[1,1,4,2,2,1,1,1,1,2,3,5]",119,12,True
481,12,24,"[139,449,457,463,935,1643,2705,2149,433,445,227,581]","[1,2,2,1,1,1,2,4,2,3,1,4]",139,12,True
485,3,9,"[19,271,649]","[1,1,7]",19,3,True
485,3,9,"[23,277,329]","[1,2,6]",23,3,True
485,3,9,"[29,143,457]","[2,1,6]",29,3,True
485,3,9,"[31,289,169]","[1,3,5]",31,3,True
485,3,9,"[37,149,233]","[2,2,5]",37,3,True
485,3,9,"[47,313,89]","[1,4,4]",47,3,True
485,3,9,"[49,79,361]","[3,1,5]",49,3,True
485,3,9,"[53,161,121]","[2,3,4]",53,3,True
497,10,20,"[79,367,799,1447,2419,3877,379,817,737,677]","[1,1,1,1,1,5,1,2,2,5]",79,10,True
497,10,20,"[95,391,835,1501,625,593,569,551,1075,1861]","[1,1,1,3,2,2,2,1,1,6]",95,10,True
497,10,20,"[113,209,281,335,751,1375,2311,3715,5821,2245]","[2,2,2,1,1,1,1,1,3,6]",113,10,True
497,10,20,"[145,233,299,697,647,1219,2077,841,755,1381]","[2,2,1,2,1,1,3,2,1,5]",145,10,True
497,10,20,"[265,323,733,337,377,407,859,1537,1277,541]","[2,1,3,2,2,1,1,2,3,3]",265,10,True
499,10,16,"[5005,7757,11885,18077,27365,41297,62195,46771,35203,26527]","[1,1,1,1,1,1,2,2,2,4]",5005,10,True
499,10,16,"[5357,8285,12677,19265,29147,21985,33227,25045,37817,56975]","[1,1,1,1,2,1,2,1,1,5]",5357,10,True
499,10,16,"[5453,8429,12893,19589,29633,44699,33649,50723,38167,14375]","[1,1,1,1,1,2,1,2,3,3]",5453,10,True
499,10,16,"[5581,8621,13181,20021,30281,45671,17189,26033,39299,29599]","[1,1,1,1,1,3,1,1,2,4]",5581,10,True
499,10,16,"[5773,8909,13613,20669,31253,47129,70943,13333,20249,30623]","[1,1,1,1,1,1,4,1,1,4]",5773,10,True
499,10,16,"[5965,9197,14045,21317,32225,48587,36565,55097,82895,7787]","[1,1,1,1,1,2,1,1,5,2]",5965,10,True
499,10,16,"[6029,9293,14189,21533,32549,49073,73859,55519,10441,15911]","[1,1,1,1,1,1,2,4,1,3]",6029,10,True
499,10,16,"[6085,9377,14315,10861,16541,25061,37841,57011,42883,32287]","[1,1,2,1,1,1,1,2,2,4]",6085,10,True
499,10,16,"[6221,9581,14621,22181,33521,50531,38023,14321,21731,16423]","[1,1,1,1,1,2,3,1,2,3]",6221,10,True
499,10,16,"[6365,9797,14945,22667,17125,25937,39155,29491,22243,16807]","[1,1,1,2,1,1,2,2,2,3]",6365,10,True
499,10,16,"[6605,10157,15485,23477,35465,53447,20105,30407,11465,17447]","[1,1,1,1,1,3,1,3,1,3]",6605,10,True
499,10,16,"[6853,10529,16043,12157,18485,27977,42215,15893,24089,36383]","[1,1,2,1,1,1,3,1,1,4]",6853,10,True
499,10,16,"[6893,10589,16133,24449,36923,27817,41975,15803,11977,18215]","[1,1,1,1,2,1,3,2,1,3]",6893,10,True
499,10,16,"[7069,10853,16529,25043,18907,14305,21707,16405,24857,37535]","[1,1,1,2,2,1,2,1,1,4]",7069,10,True
499,10,16,"[7073,10859,8269,12653,19229,29093,43889,66083,49687,18695]","[1,2,1,1,1,1,1,2,3,3]",7073,10,True
